,0,1,2,3,4,5,6
0,0,0.02,195,Monitoreo de agua y electricidad,0,21.0,1
1,0,0.07,59,Control de iluminacion,0,22.0,0
2,0,0.08,136,Monitoreo de agua y electricidad,0,20.35,1
3,0,0.1,119,Control de iluminacion,0,21.13,0
4,0,0.27,134,Monitoreo de agua y electricidad,0,23.29,1
5,0,0.27,241,Monitoreo de agua y electricidad,0,20.09,1
6,0,0.29,153,Monitoreo de agua y electricidad,0,21.01,1
7,0,0.36,132,Control de iluminacion,0,20.02,0
8,0,0.37,81,Control de iluminacion,0,21.52,0
9,0,0.37,166,Monitoreo de agua y electricidad,0,39.44,1
10,0,0.38,138,Monitoreo de agua y electricidad,0,20.17,1
11,0,0.4,228,Deteccion de terremotos,0,20.15,0
12,0,0.42,155,Control de iluminacion,0,20.99,0
13,0,0.43,105,Monitoreo de agua y electricidad,0,20.34,1
14,0,0.46,109,Control de iluminacion,0,20.88,0
15,0,0.46,33,Monitoreo de agua y electricidad,0,45.71,1
16,0,0.47,135,Monitoreo de agua y electricidad,0,20.48,1
17,0,0.49,56,Monitoreo de agua y electricidad,0,22.62,1
18,0,0.49,180,Monitoreo de agua y electricidad,0,21.21,1
19,0,0.57,287,Control de iluminacion,0,20.03,0
20,0,0.58,108,Monitoreo de agua y electricidad,0,22.53,1
21,0,0.63,159,Monitoreo de agua y electricidad,0,20.27,1
22,0,0.69,252,Monitoreo de agua y electricidad,0,20.33,1
23,0,0.7,53,Monitoreo de agua y electricidad,0,20.03,1
24,0,0.73,147,Monitoreo de agua y electricidad,0,24.59,1
25,0,0.75,26,Monitoreo de agua y electricidad,0,20.9,1
26,0,0.79,274,Control de iluminacion,0,20.25,0
27,0,0.79,369,Control de iluminacion,0,28.46,0
28,0,0.96,167,Monitoreo de agua y electricidad,0,22.47,1
29,0,1.01,362,Deteccion de terremotos,0,21.98,0
30,0,1.13,383,Deteccion de terremotos,0,20.34,0
31,0,1.2,342,Control de iluminacion,0,20.28,0
32,0,1.22,95,Control de iluminacion,0,20.27,0
33,0,1.3,591,Deteccion de terremotos,0,20.86,0
34,0,1.3,54,Monitoreo de agua y electricidad,0,21.99,1
35,0,1.36,243,Monitoreo de agua y electricidad,0,20.18,1
36,0,1.37,75,Monitoreo de agua y electricidad,0,20.31,1
37,0,1.38,21,Monitoreo de agua y electricidad,0,48.0,1
38,0,1.42,245,Monitoreo de agua y electricidad,0,21.81,1
39,0,1.43,6,Monitoreo de agua y electricidad,0,49.23,1
40,0,1.48,11,Monitoreo de agua y electricidad,0,20.96,1
41,0,1.52,40,Deteccion de terremotos,0,22.11,0
42,0,1.56,158,Control de iluminacion,0,20.37,0
43,0,1.58,90,Control de iluminacion,0,62.01,0
44,0,1.58,204,Control de iluminacion,0,21.05,0
45,0,1.59,244,Monitoreo de agua y electricidad,0,21.27,1
46,0,1.67,27,Monitoreo de agua y electricidad,0,20.31,1
47,0,1.85,141,Monitoreo de agua y electricidad,0,23.58,1
48,0,1.96,296,Control de iluminacion,0,20.48,0
49,0,2.09,206,Monitoreo de agua y electricidad,0,190.05,1
50,0,2.13,335,Control de iluminacion,0,20.3,0
51,0,2.13,219,Monitoreo de agua y electricidad,0,68.99,1
52,0,2.14,218,Monitoreo de agua y electricidad,0,20.38,1
53,0,2.15,116,Monitoreo de agua y electricidad,0,20.81,1
54,0,2.18,291,Control de iluminacion,0,20.16,0
55,0,2.22,57,Monitoreo de agua y electricidad,0,20.46,1
56,0,2.25,140,Monitoreo de agua y electricidad,0,28.99,1
57,0,2.29,222,Monitoreo de agua y electricidad,0,21.72,1
58,0,2.31,236,Control de iluminacion,0,60.09,0
59,0,2.32,371,Control de iluminacion,0,70.81,0
60,0,2.32,76,Monitoreo de agua y electricidad,0,21.02,1
61,0,2.35,123,Monitoreo de agua y electricidad,0,20.45,1
62,0,2.4,18,Monitoreo de agua y electricidad,0,20.0,1
63,0,2.42,215,Monitoreo de agua y electricidad,0,22.0,1
64,0,2.44,194,Monitoreo de agua y electricidad,0,20.4,1
65,0,2.46,229,Monitoreo de agua y electricidad,0,20.86,1
66,0,2.48,192,Deteccion de terremotos,0,20.61,0
67,0,2.5,36,Monitoreo de agua y electricidad,0,20.78,1
68,0,2.55,234,Monitoreo de agua y electricidad,0,22.29,1
69,0,2.57,117,Monitoreo de agua y electricidad,0,20.35,1
70,0,2.6,184,Monitoreo de agua y electricidad,0,22.73,1
71,0,2.67,246,Control de iluminacion,0,20.47,0
72,0,2.73,319,Control de iluminacion,0,21.24,0
73,0,2.84,91,Control de iluminacion,0,29.03,0
74,0,2.86,146,Monitoreo de agua y electricidad,0,20.13,1
75,0,2.9,372,Control de iluminacion,0,21.2,0
76,0,2.91,78,Monitoreo de agua y electricidad,0,20.7,1
77,0,2.93,100,Monitoreo de agua y electricidad,0,75.84,1
78,0,2.94,10,Monitoreo de agua y electricidad,0,23.74,1
79,0,2.98,230,Monitoreo de agua y electricidad,0,20.87,1
80,0,2.99,170,Control de iluminacion,0,20.29,0
81,0,2.99,181,Monitoreo de agua y electricidad,0,21.97,1
82,0,3.0,206,Deteccion de terremotos,0,20.12,0
83,0,3.02,174,Deteccion de terremotos,0,20.62,0
84,0,3.09,118,Monitoreo de agua y electricidad,0,20.58,1
85,0,3.1,249,Monitoreo de agua y electricidad,0,31.72,1
86,0,3.16,294,Control de iluminacion,0,20.76,0
87,0,3.19,225,Monitoreo de agua y electricidad,0,20.29,1
88,0,3.21,387,Deteccion de terremotos,0,20.13,0
89,0,3.24,89,Deteccion de terremotos,0,21.83,0
90,0,3.26,476,Deteccion de terremotos,0,23.32,0
91,0,3.29,200,Control de iluminacion,0,20.14,0
92,0,3.31,44,Control de iluminacion,0,22.09,0
93,0,3.39,25,Control de iluminacion,0,20.08,0
94,0,3.41,254,Monitoreo de agua y electricidad,0,20.35,1
95,0,3.42,0,Control de iluminacion,0,20.19,0
96,0,3.42,330,Control de iluminacion,0,20.45,0
97,0,3.43,81,Monitoreo de agua y electricidad,0,20.98,1
98,0,3.46,91,Control de iluminacion,0,25.05,0
99,0,3.52,158,Monitoreo de agua y electricidad,0,20.15,1
100,0,3.55,23,Monitoreo de agua y electricidad,0,20.16,1
101,0,3.58,42,Control de iluminacion,0,20.42,0
102,0,3.59,308,Control de iluminacion,0,20.01,0
103,0,3.59,106,Monitoreo de agua y electricidad,0,20.82,1
104,0,3.61,211,Control de iluminacion,0,20.41,0
105,0,3.63,123,Control de iluminacion,0,20.38,0
106,0,3.65,162,Monitoreo de agua y electricidad,0,21.58,1
107,0,3.68,298,Control de iluminacion,0,20.22,0
108,0,3.69,116,Deteccion de terremotos,0,20.96,0
109,0,3.71,237,Deteccion de terremotos,0,20.58,0
110,0,3.74,133,Control de iluminacion,0,21.83,0
111,0,3.76,31,Monitoreo de agua y electricidad,0,20.03,1
112,0,3.76,209,Monitoreo de agua y electricidad,0,20.21,1
113,0,3.77,170,Monitoreo de agua y electricidad,0,21.12,1
114,0,3.79,310,Control de iluminacion,0,20.72,0
115,0,3.85,110,Monitoreo de agua y electricidad,0,21.82,1
116,0,3.93,24,Monitoreo de agua y electricidad,0,21.39,1
117,0,3.93,45,Monitoreo de agua y electricidad,0,20.31,1
118,0,4.01,0,Control de iluminacion,0,20.64,0
119,0,4.11,247,Control de iluminacion,0,21.42,0
120,0,4.12,25,Monitoreo de agua y electricidad,0,20.13,1
121,0,4.13,82,Monitoreo de agua y electricidad,0,20.59,1
122,0,4.27,144,Monitoreo de agua y electricidad,0,24.44,1
123,0,4.27,227,Monitoreo de agua y electricidad,0,23.51,1
124,0,4.32,1,Monitoreo de agua y electricidad,0,22.4,1
125,0,4.32,201,Monitoreo de agua y electricidad,0,20.53,1
126,0,4.33,112,Control de iluminacion,0,22.42,0
127,0,4.35,235,Deteccion de terremotos,0,151.59,0
128,0,4.36,172,Monitoreo de agua y electricidad,0,20.18,1
129,0,4.38,363,Control de iluminacion,0,23.19,0
130,0,4.44,46,Monitoreo de agua y electricidad,0,22.84,1
131,0,4.47,18,Control de iluminacion,0,24.02,0
132,0,4.48,151,Monitoreo de agua y electricidad,0,29.98,1
133,0,4.49,123,Control de iluminacion,0,24.3,0
134,0,4.52,366,Control de iluminacion,0,20.13,0
135,0,4.55,333,Control de iluminacion,0,20.17,0
136,0,4.55,77,Monitoreo de agua y electricidad,0,20.11,1
137,0,4.56,70,Deteccion de terremotos,0,20.39,0
138,0,4.58,215,Control de iluminacion,0,20.19,0
139,0,4.64,180,Control de iluminacion,0,20.36,0
140,0,4.66,38,Control de iluminacion,0,20.76,0
141,0,4.67,184,Control de iluminacion,0,20.27,0
142,0,4.68,95,Monitoreo de agua y electricidad,0,21.43,1
143,0,4.72,175,Control de iluminacion,0,20.14,0
144,0,4.73,311,Control de iluminacion,0,20.14,0
145,0,4.73,79,Monitoreo de agua y electricidad,0,33.69,1
146,0,4.77,69,Monitoreo de agua y electricidad,0,20.81,1
147,0,4.9,133,Monitoreo de agua y electricidad,0,22.3,1
148,0,4.96,363,Control de iluminacion,0,27.84,0
149,0,4.98,19,Monitoreo de agua y electricidad,0,21.65,1
150,0,5.0,131,Monitoreo de agua y electricidad,0,32.7,1
151,0,5.01,109,Monitoreo de agua y electricidad,0,26.59,1
152,0,5.05,76,Deteccion de terremotos,0,20.5,0
153,0,5.08,199,Monitoreo de agua y electricidad,0,20.1,1
154,0,5.09,47,Monitoreo de agua y electricidad,0,22.17,1
155,0,5.11,87,Monitoreo de agua y electricidad,0,20.57,1
156,0,5.12,247,Control de iluminacion,0,20.92,0
157,0,5.13,67,Control de iluminacion,0,21.19,0
158,0,5.22,253,Monitoreo de agua y electricidad,0,20.21,1
159,0,5.24,87,Control de iluminacion,0,20.04,0
160,0,5.26,171,Monitoreo de agua y electricidad,0,21.39,1
161,0,5.3,15,Control de iluminacion,0,27.48,0
162,0,5.4,5,Monitoreo de agua y electricidad,0,21.82,1
163,0,5.45,128,Control de iluminacion,0,21.47,0
164,0,5.47,125,Control de iluminacion,0,20.14,0
165,0,5.49,55,Monitoreo de agua y electricidad,0,20.21,1
166,0,5.52,342,Deteccion de terremotos,0,22.09,0
167,0,5.53,41,Control de iluminacion,0,30.74,0
168,0,5.58,142,Monitoreo de agua y electricidad,0,20.52,1
169,0,5.67,63,Deteccion de terremotos,0,21.23,0
170,0,5.7,149,Monitoreo de agua y electricidad,0,28.14,1
171,0,5.72,80,Monitoreo de agua y electricidad,0,20.51,1
172,0,5.75,103,Control de iluminacion,0,20.15,0
173,0,5.83,112,Monitoreo de agua y electricidad,0,29.82,1
174,0,5.85,239,Monitoreo de agua y electricidad,0,20.15,1
175,0,5.87,22,Monitoreo de agua y electricidad,0,20.46,1
176,0,5.96,403,Deteccion de terremotos,0,20.84,0
177,0,6.0,183,Deteccion de terremotos,0,21.5,0
178,0,6.01,130,Monitoreo de agua y electricidad,0,20.16,1
179,0,6.04,139,Control de iluminacion,0,20.13,0
180,0,6.06,12,Monitoreo de agua y electricidad,0,21.43,1
181,0,6.06,132,Monitoreo de agua y electricidad,0,20.11,1
182,0,6.08,12,Deteccion de terremotos,0,41.08,0
183,0,6.1,193,Monitoreo de agua y electricidad,0,20.86,1
184,0,6.13,35,Monitoreo de agua y electricidad,0,22.67,1
185,0,6.15,210,Monitoreo de agua y electricidad,0,22.74,1
186,0,6.17,317,Control de iluminacion,0,20.05,0
187,0,6.17,74,Monitoreo de agua y electricidad,0,20.4,1
188,0,6.19,208,Monitoreo de agua y electricidad,0,20.03,1
189,0,6.21,129,Monitoreo de agua y electricidad,0,21.25,1
190,0,6.33,131,Deteccion de terremotos,0,20.04,0
191,0,6.35,157,Monitoreo de agua y electricidad,0,21.13,1
192,0,6.42,237,Monitoreo de agua y electricidad,0,101.67,1
193,0,6.43,187,Monitoreo de agua y electricidad,0,20.19,1
194,0,6.48,71,Control de iluminacion,0,20.35,0
195,0,6.54,99,Monitoreo de agua y electricidad,0,20.87,1
196,0,6.55,61,Monitoreo de agua y electricidad,0,22.04,1
197,0,6.55,161,Monitoreo de agua y electricidad,0,20.23,1
198,0,6.62,135,Control de iluminacion,0,20.36,0
199,0,6.74,404,Deteccion de terremotos,0,20.82,0
200,0,6.74,58,Monitoreo de agua y electricidad,0,20.75,1
201,0,6.75,173,Monitoreo de agua y electricidad,0,26.73,1
202,0,6.76,155,Monitoreo de agua y electricidad,0,21.15,1
203,0,6.8,139,Monitoreo de agua y electricidad,0,20.66,1
204,0,6.82,30,Monitoreo de agua y electricidad,0,21.1,1
205,0,6.86,457,Deteccion de terremotos,0,20.29,0
206,0,6.87,306,Deteccion de terremotos,0,20.2,0
207,0,6.88,238,Monitoreo de agua y electricidad,0,20.41,1
208,0,6.88,246,Monitoreo de agua y electricidad,0,20.71,1
209,0,6.95,202,Monitoreo de agua y electricidad,0,20.66,1
210,0,7.03,113,Control de iluminacion,0,20.21,0
211,0,7.06,14,Control de iluminacion,0,20.03,0
212,0,7.2,235,Monitoreo de agua y electricidad,0,20.18,1
213,0,7.2,72,Monitoreo de agua y electricidad,0,20.44,1
214,0,7.22,183,Monitoreo de agua y electricidad,0,21.02,1
215,0,7.33,77,Control de iluminacion,0,20.45,0
216,0,7.4,115,Monitoreo de agua y electricidad,0,23.63,1
217,0,7.41,122,Control de iluminacion,0,20.2,0
218,0,7.47,298,Deteccion de terremotos,0,21.08,0
219,0,7.48,92,Monitoreo de agua y electricidad,0,22.49,1
220,0,7.56,81,Control de iluminacion,0,27.38,0
221,0,7.64,487,Deteccion de terremotos,0,20.88,0
222,0,7.67,203,Control de iluminacion,0,20.93,0
223,0,7.87,213,Monitoreo de agua y electricidad,0,20.57,1
224,0,8.04,217,Control de iluminacion,0,42.68,0
225,0,8.05,0,Control de iluminacion,0,36.99,0
226,0,8.05,97,Monitoreo de agua y electricidad,0,26.45,1
227,0,8.07,38,Monitoreo de agua y electricidad,0,21.21,1
228,0,8.1,145,Monitoreo de agua y electricidad,0,20.54,1
229,0,8.12,71,Monitoreo de agua y electricidad,0,21.55,1
230,0,8.17,203,Monitoreo de agua y electricidad,0,20.79,1
231,0,8.19,102,Monitoreo de agua y electricidad,0,22.24,1
232,0,8.21,49,Monitoreo de agua y electricidad,0,27.0,1
233,0,8.21,104,Monitoreo de agua y electricidad,0,20.32,1
234,0,8.41,203,Control de iluminacion,0,20.54,0
235,0,8.41,7,Monitoreo de agua y electricidad,0,28.34,1
236,0,8.45,84,Monitoreo de agua y electricidad,0,20.09,1
237,0,8.57,157,Control de iluminacion,0,20.56,0
238,0,8.6,2,Monitoreo de agua y electricidad,0,20.72,1
239,0,8.64,217,Monitoreo de agua y electricidad,0,20.03,1
240,0,8.73,4,Monitoreo de agua y electricidad,0,22.67,1
241,0,8.77,622,Deteccion de terremotos,0,21.03,0
242,0,8.77,8,Monitoreo de agua y electricidad,0,20.04,1
243,0,8.78,175,Control de iluminacion,0,35.14,0
244,0,8.8,402,Deteccion de terremotos,0,21.51,0
245,0,8.82,15,Monitoreo de agua y electricidad,0,25.71,1
246,0,8.87,0,Monitoreo de agua y electricidad,0,22.85,1
247,0,8.9,19,Control de iluminacion,0,21.69,0
248,0,8.9,48,Control de iluminacion,0,27.89,0
249,0,8.9,127,Deteccion de terremotos,0,23.06,0
250,0,8.91,179,Monitoreo de agua y electricidad,0,22.38,1
